title,body,correct_category
Fattura non ricevuta,"Buongiorno, non abbiamo ancora ricevuto la fattura relativa al mese scorso. Potete verificarne l’invio?",Amministrazione
Errore importo in fattura,Abbiamo notato che l’importo indicato in fattura non corrisponde a quanto concordato. Potete controllare?,Amministrazione
Richiesta copia fattura,Avrei bisogno di una copia della fattura già emessa per poterla archiviare correttamente.,Amministrazione
Fattura con IVA errata,La fattura ricevuta riporta un’aliquota IVA non corretta. Potete emetterne una corretta?,Amministrazione
Chiarimenti su scadenza pagamento,Vorrei avere conferma sulla data di scadenza del pagamento indicata in fattura.,Amministrazione
Nota di credito richiesta,È necessario emettere una nota di credito a seguito di un errore di fatturazione.,Amministrazione
Pagamento già effettuato,"Vi segnalo che il pagamento relativo alla fattura risulta già effettuato, ma risulta ancora come insoluto.",Amministrazione
Ritardo nel pagamento,Il pagamento subirà un lieve ritardo rispetto alla scadenza prevista.,Amministrazione
Richiesta coordinate bancarie,Potete confermarci le vostre coordinate bancarie per procedere al pagamento?,Amministrazione
Fattura duplicata,Abbiamo ricevuto due volte la stessa fattura. Potete verificare?,Amministrazione
Errore intestazione fattura,La fattura è intestata a una società errata. È possibile correggerla?,Amministrazione
Richiesta dettaglio voci fattura,Avremmo bisogno di un dettaglio più preciso delle voci presenti in fattura.,Amministrazione
Pagamento parziale effettuato,È stato effettuato un pagamento parziale della fattura. Seguirà saldo.,Amministrazione
Fattura non registrata,La fattura inviata non risulta ancora registrata nel nostro sistema.,Amministrazione
Chiarimenti su ritenuta d’acconto,Vorrei chiarimenti sull’applicazione della ritenuta d’acconto indicata in fattura.,Amministrazione
Scadenza pagamento superata,"La fattura risulta scaduta, potete indicarci come procedere?",Amministrazione
Richiesta estratto conto,Avremmo bisogno di un estratto conto aggiornato delle fatture aperte.,Tecnico
Errore valuta in fattura,La fattura è stata emessa con una valuta diversa da quella concordata.,Amministrazione
Fattura proforma richiesta,Potreste inviarci una fattura proforma prima dell’emissione definitiva?,Amministrazione
Problema riconciliazione pagamento,Stiamo avendo difficoltà a riconciliare un pagamento con la relativa fattura.,Amministrazione
Richiesta dilazione pagamento,È possibile concordare una dilazione sui termini di pagamento?,Amministrazione
Fattura mancante,Risulta mancante una fattura relativa a un servizio già erogato.,Amministrazione
Errore data fattura,La data indicata in fattura non è corretta.,Amministrazione
Richiesta storno fattura,Chiediamo lo storno della fattura emessa per errore.,Amministrazione
Pagamento non riscontrato,Il pagamento effettuato non risulta ancora riscontrato nei vostri sistemi.,Amministrazione
Chiarimenti su bollo,Vorrei chiarimenti sull’applicazione dell’imposta di bollo in fattura.,Amministrazione
Fattura elettronica scartata,La fattura elettronica risulta scartata dal sistema. Potete reinviarla?,Amministrazione
