id,title,body,category,priority
1,Fattura non ricevuta,"Buongiorno, non abbiamo ancora ricevuto la fattura relativa al mese scorso. Potete verificarne l’invio?",Amministrazione,media
2,Errore importo in fattura,Abbiamo notato che l’importo indicato in fattura non corrisponde a quanto concordato. Potete controllare?,Amministrazione,media
3,Richiesta copia fattura,Avrei bisogno di una copia della fattura già emessa per poterla archiviare correttamente.,Amministrazione,bassa
4,Fattura con IVA errata,La fattura ricevuta riporta un’aliquota IVA non corretta. Potete emetterne una corretta?,Amministrazione,media
5,Chiarimenti su scadenza pagamento,Vorrei avere conferma sulla data di scadenza del pagamento indicata in fattura.,Amministrazione,media
6,Nota di credito richiesta,È necessario emettere una nota di credito a seguito di un errore di fatturazione.,Amministrazione,bassa
7,Pagamento già effettuato,"Vi segnalo che il pagamento relativo alla fattura risulta già effettuato, ma risulta ancora come insoluto.",Amministrazione,media
8,Ritardo nel pagamento,Il pagamento subirà un lieve ritardo rispetto alla scadenza prevista.,Amministrazione,media
9,Richiesta coordinate bancarie,Potete confermarci le vostre coordinate bancarie per procedere al pagamento?,Amministrazione,bassa
10,Fattura duplicata,Abbiamo ricevuto due volte la stessa fattura. Potete verificare?,Amministrazione,media
11,Errore intestazione fattura,La fattura è intestata a una società errata. È possibile correggerla?,Amministrazione,media
12,Richiesta dettaglio voci fattura,Avremmo bisogno di un dettaglio più preciso delle voci presenti in fattura.,Amministrazione,bassa
13,Pagamento parziale effettuato,È stato effettuato un pagamento parziale della fattura. Seguirà saldo.,Amministrazione,media
14,Fattura non registrata,La fattura inviata non risulta ancora registrata nel nostro sistema.,Amministrazione,media
15,Chiarimenti su ritenuta d’acconto,Vorrei chiarimenti sull’applicazione della ritenuta d’acconto indicata in fattura.,Amministrazione,media
16,Scadenza pagamento superata,"La fattura risulta scaduta, potete indicarci come procedere?",Amministrazione,media
17,Richiesta estratto conto,Avremmo bisogno di un estratto conto aggiornato delle fatture aperte.,Tecnico,bassa
18,Errore valuta in fattura,La fattura è stata emessa con una valuta diversa da quella concordata.,Amministrazione,media
19,Fattura proforma richiesta,Potreste inviarci una fattura proforma prima dell’emissione definitiva?,Amministrazione,bassa
20,Problema riconciliazione pagamento,Stiamo avendo difficoltà a riconciliare un pagamento con la relativa fattura.,Amministrazione,media
21,Richiesta dilazione pagamento,È possibile concordare una dilazione sui termini di pagamento?,Amministrazione,bassa
22,Fattura mancante,Risulta mancante una fattura relativa a un servizio già erogato.,Amministrazione,media
23,Errore data fattura,La data indicata in fattura non è corretta.,Amministrazione,media
24,Richiesta storno fattura,Chiediamo lo storno della fattura emessa per errore.,Amministrazione,bassa
25,Pagamento non riscontrato,Il pagamento effettuato non risulta ancora riscontrato nei vostri sistemi.,Amministrazione,media
26,Chiarimenti su bollo,Vorrei chiarimenti sull’applicazione dell’imposta di bollo in fattura.,Amministrazione,media
27,Fattura elettronica scartata,La fattura elettronica risulta scartata dal sistema. Potete reinviarla?,Amministrazione,media
28,Richiesta aggiornamento anagrafica,È necessario aggiornare i dati anagrafici per la corretta fatturazione.,Amministrazione,bassa
29,Errore codice destinatario,Il codice destinatario indicato in fattura non è corretto.,Amministrazione,media
30,Fattura con importo negativo,La fattura presenta un importo negativo. Potete verificare?,Amministrazione,media
31,Pagamento in eccesso,Abbiamo effettuato un pagamento superiore all’importo dovuto. Come possiamo procedere?,Amministrazione,media
32,Richiesta rimborso,Chiediamo il rimborso di un importo pagato in eccesso.,Tecnico,bassa
33,Fattura per servizio non ricevuto,È stata emessa una fattura per un servizio che non risulta erogato.,Amministrazione,media
34,Errore descrizione servizio,La descrizione del servizio in fattura non è corretta.,Amministrazione,media
35,Richiesta conferma ricezione pagamento,Potete confermare la ricezione del pagamento effettuato?,Amministrazione,bassa
36,Scadenze multiple,"Sono presenti più scadenze per la stessa fattura, potete chiarire?",Amministrazione,media
37,Fattura annullata,La fattura risulta annullata. Potete fornire spiegazioni?,Amministrazione,media
38,Richiesta copia nota di credito,Avrei bisogno di una copia della nota di credito emessa.,Amministrazione,bassa
39,Errore imponibile,L’imponibile indicato in fattura non è corretto.,Amministrazione,media
40,Pagamento respinto,Il pagamento effettuato è stato respinto dalla banca.,Amministrazione,media
41,Fattura di anticipo,"È stata emessa una fattura di anticipo, potete confermare la corretta imputazione?",Amministrazione,media
42,Chiarimenti su saldo finale,Vorrei chiarimenti sul calcolo del saldo finale della fattura.,Amministrazione,media
43,Fattura con dati incompleti,La fattura ricevuta presenta dati incompleti.,Amministrazione,media
44,Richiesta riepilogo fatture,Avrei bisogno di un riepilogo delle fatture emesse nell’ultimo trimestre.,Tecnico,bassa
45,Errore arrotondamento,Abbiamo riscontrato un errore di arrotondamento negli importi.,Tecnico,media
46,Pagamento programmato,Il pagamento è stato programmato per la prossima settimana.,Amministrazione,media
47,Richiesta conferma contabilizzazione,Potete confermare che la fattura è stata correttamente contabilizzata?,Amministrazione,bassa
48,Fattura stornata,La fattura risulta stornata nei vostri sistemi.,Amministrazione,media
49,Fattura non conforme al contratto,La fattura ricevuta non rispecchia le condizioni previste dal contratto sottoscritto.,Amministrazione,media
50,Richiesta chiarimenti su fatturazione estera,Avremmo bisogno di chiarimenti sulla fatturazione verso clienti esteri.,Amministrazione,bassa
51,Pagamento non riconciliato,Il pagamento effettuato non risulta riconciliato con le fatture aperte.,Amministrazione,media
52,Errore aliquota IVA,L’aliquota IVA applicata in fattura non è corretta.,Amministrazione,media
53,Richiesta riemissione fattura elettronica,"La fattura elettronica non è andata a buon fine, potete reinviarla?",Amministrazione,bassa
54,Fattura contabilizzata due volte,La fattura risulta contabilizzata due volte nei nostri sistemi.,Amministrazione,media
55,Chiarimenti su termini di pagamento,Vorrei chiarimenti sui termini di pagamento applicati.,Amministrazione,media
56,Pagamento con riferimento errato,Il pagamento è stato effettuato con un riferimento errato.,Amministrazione,media
57,Errore ritenuta previdenziale,La ritenuta previdenziale indicata in fattura non è corretta.,Amministrazione,media
58,Richiesta storno totale,È necessario procedere con lo storno totale della fattura.,Amministrazione,bassa
59,Fattura con scadenza mancante,La fattura non riporta alcuna data di scadenza.,Amministrazione,media
60,Pagamento sospeso,Il pagamento risulta sospeso per verifiche interne.,Amministrazione,media
61,Richiesta estratto conto fornitori,Avremmo bisogno dell’estratto conto fornitori aggiornato.,Tecnico,bassa
62,Errore nella descrizione prestazione,La descrizione della prestazione in fattura non è corretta.,Amministrazione,media
