subject,body
Fattura non ricevuta,"Buongiorno, non abbiamo ancora ricevuto la fattura relativa al mese scorso. Potete verificarne l’invio?"
Errore importo in fattura,Abbiamo notato che l’importo indicato in fattura non corrisponde a quanto concordato. Potete controllare?
Richiesta copia fattura,Avrei bisogno di una copia della fattura già emessa per poterla archiviare correttamente.
Fattura con IVA errata,La fattura ricevuta riporta un’aliquota IVA non corretta. Potete emetterne una corretta?
Chiarimenti su scadenza pagamento,Vorrei avere conferma sulla data di scadenza del pagamento indicata in fattura.
Nota di credito richiesta,È necessario emettere una nota di credito a seguito di un errore di fatturazione.
Pagamento già effettuato,"Vi segnalo che il pagamento relativo alla fattura risulta già effettuato, ma risulta ancora come insoluto."
Ritardo nel pagamento,Il pagamento subirà un lieve ritardo rispetto alla scadenza prevista.
Richiesta coordinate bancarie,Potete confermarci le vostre coordinate bancarie per procedere al pagamento?
Fattura duplicata,Abbiamo ricevuto due volte la stessa fattura. Potete verificare?
Errore intestazione fattura,La fattura è intestata a una società errata. È possibile correggerla?
Richiesta dettaglio voci fattura,Avremmo bisogno di un dettaglio più preciso delle voci presenti in fattura.
Pagamento parziale effettuato,È stato effettuato un pagamento parziale della fattura. Seguirà saldo.
Fattura non registrata,La fattura inviata non risulta ancora registrata nel nostro sistema.
Chiarimenti su ritenuta d’acconto,Vorrei chiarimenti sull’applicazione della ritenuta d’acconto indicata in fattura.
Scadenza pagamento superata,"La fattura risulta scaduta, potete indicarci come procedere?"
Richiesta estratto conto,Avremmo bisogno di un estratto conto aggiornato delle fatture aperte.
Errore valuta in fattura,La fattura è stata emessa con una valuta diversa da quella concordata.
Fattura proforma richiesta,Potreste inviarci una fattura proforma prima dell’emissione definitiva?
Problema riconciliazione pagamento,Stiamo avendo difficoltà a riconciliare un pagamento con la relativa fattura.
Richiesta dilazione pagamento,È possibile concordare una dilazione sui termini di pagamento?
Fattura mancante,Risulta mancante una fattura relativa a un servizio già erogato.
Errore data fattura,La data indicata in fattura non è corretta.
Richiesta storno fattura,Chiediamo lo storno della fattura emessa per errore.
Pagamento non riscontrato,Il pagamento effettuato non risulta ancora riscontrato nei vostri sistemi.
Chiarimenti su bollo,Vorrei chiarimenti sull’applicazione dell’imposta di bollo in fattura.
Fattura elettronica scartata,La fattura elettronica risulta scartata dal sistema. Potete reinviarla?
Richiesta aggiornamento anagrafica,È necessario aggiornare i dati anagrafici per la corretta fatturazione.
Errore codice destinatario,Il codice destinatario indicato in fattura non è corretto.
Fattura con importo negativo,La fattura presenta un importo negativo. Potete verificare?
Pagamento in eccesso,Abbiamo effettuato un pagamento superiore all’importo dovuto. Come possiamo procedere?
Richiesta rimborso,Chiediamo il rimborso di un importo pagato in eccesso.
Fattura per servizio non ricevuto,È stata emessa una fattura per un servizio che non risulta erogato.
Errore descrizione servizio,La descrizione del servizio in fattura non è corretta.
Richiesta conferma ricezione pagamento,Potete confermare la ricezione del pagamento effettuato?
Scadenze multiple,"Sono presenti più scadenze per la stessa fattura, potete chiarire?"
Fattura annullata,La fattura risulta annullata. Potete fornire spiegazioni?
Richiesta copia nota di credito,Avrei bisogno di una copia della nota di credito emessa.
Errore imponibile,L’imponibile indicato in fattura non è corretto.
Pagamento respinto,Il pagamento effettuato è stato respinto dalla banca.
Fattura di anticipo,"È stata emessa una fattura di anticipo, potete confermare la corretta imputazione?"
Chiarimenti su saldo finale,Vorrei chiarimenti sul calcolo del saldo finale della fattura.
Fattura con dati incompleti,La fattura ricevuta presenta dati incompleti.
Richiesta riepilogo fatture,Avrei bisogno di un riepilogo delle fatture emesse nell’ultimo trimestre.
Errore arrotondamento,Abbiamo riscontrato un errore di arrotondamento negli importi.
Pagamento programmato,Il pagamento è stato programmato per la prossima settimana.
Richiesta conferma contabilizzazione,Potete confermare che la fattura è stata correttamente contabilizzata?
Fattura stornata,La fattura risulta stornata nei vostri sistemi.
Fattura non conforme al contratto,La fattura ricevuta non rispecchia le condizioni previste dal contratto sottoscritto.
Richiesta chiarimenti su fatturazione estera,Avremmo bisogno di chiarimenti sulla fatturazione verso clienti esteri.
Pagamento non riconciliato,Il pagamento effettuato non risulta riconciliato con le fatture aperte.
Errore aliquota IVA,L’aliquota IVA applicata in fattura non è corretta.
Richiesta riemissione fattura elettronica,"La fattura elettronica non è andata a buon fine, potete reinviarla?"
Fattura contabilizzata due volte,La fattura risulta contabilizzata due volte nei nostri sistemi.
Chiarimenti su termini di pagamento,Vorrei chiarimenti sui termini di pagamento applicati.
Pagamento con riferimento errato,Il pagamento è stato effettuato con un riferimento errato.
Errore ritenuta previdenziale,La ritenuta previdenziale indicata in fattura non è corretta.
Richiesta storno totale,È necessario procedere con lo storno totale della fattura.
Fattura con scadenza mancante,La fattura non riporta alcuna data di scadenza.
Pagamento sospeso,Il pagamento risulta sospeso per verifiche interne.
Richiesta estratto conto fornitori,Avremmo bisogno dell’estratto conto fornitori aggiornato.
Errore nella descrizione prestazione,La descrizione della prestazione in fattura non è corretta.
Fattura emessa in anticipo,La fattura risulta emessa prima dell’erogazione del servizio.
Richiesta compensazione contabile,Chiediamo la compensazione contabile dell’importo.
Pagamento con importo errato,Il pagamento è stato effettuato con un importo errato.
Errore imponibile,L’imponibile indicato non risulta corretto.
Fattura non trovata,Non riusciamo a trovare la fattura nei nostri archivi.
Richiesta chiarimenti su fattura di acconto,Vorrei chiarimenti sulla fattura di acconto ricevuta.
Pagamento contabilizzato in modo errato,Il pagamento risulta contabilizzato in modo errato.
Errore data competenza,La data di competenza indicata non è corretta.
Richiesta invio fattura aggiornata,Potete inviarci la versione aggiornata della fattura?
Fattura con importo zero,La fattura presenta un importo pari a zero.
Pagamento parziale non registrato,Il pagamento parziale non risulta registrato.
Errore calcolo IVA,L’IVA è stata calcolata in modo errato.
Richiesta chiarimenti su autofattura,Avrei bisogno di chiarimenti sull’autofattura emessa.
Fattura con riferimenti mancanti,In fattura mancano alcuni riferimenti obbligatori.
Pagamento associato a cliente errato,Il pagamento è stato associato a un cliente errato.
Errore arrotondamento IVA,È presente un errore di arrotondamento sull’IVA.
Richiesta invio riepilogo contabile,Avremmo bisogno di un riepilogo contabile aggiornato.
Fattura con valuta non corretta,La valuta indicata in fattura non è corretta.
Pagamento respinto per fondi insufficienti,Il pagamento è stato respinto per fondi insufficienti.
Errore riferimento contratto,Il riferimento al contratto in fattura non è corretto.
Richiesta chiarimenti su fattura di saldo,Vorrei chiarimenti sulla fattura di saldo ricevuta.
Fattura con descrizione incompleta,La descrizione in fattura risulta incompleta.
Pagamento non contabilizzato,Il pagamento non risulta contabilizzato.
Errore applicazione ritenuta,La ritenuta applicata non è corretta.
Richiesta conferma chiusura contabile,Potete confermare la chiusura contabile del periodo?
Fattura con scadenza errata,La scadenza indicata in fattura non è corretta.
Pagamento in compensazione,Il pagamento è stato effettuato in compensazione.
Errore riferimento cliente,Il riferimento al cliente indicato non è corretto.
Richiesta supporto per riconciliazione,Avremmo bisogno di supporto per la riconciliazione contabile.
Fattura emessa per importo errato,La fattura è stata emessa per un importo errato.
Pagamento non autorizzato,Il pagamento risulta non autorizzato.
Errore descrizione costo,La descrizione del costo in fattura non è corretta.
Richiesta conferma saldo cliente,Potete confermare il saldo attuale del cliente?
Arresto imprevisto della piattaforma di analisi dati,"La piattaforma di analisi dei dati si è arrestata improvvisamente durante l’elaborazione di un set di dati di grandi dimensioni, causando l’interruzione del flusso di lavoro e la perdita delle analisi non salvate."
Richiesta di assistenza clienti,"Gentile Assistenza Clienti, vi contatto per ottenere informazioni sulle strategie digitali che possono migliorare l’esperienza dei clienti e ottimizzare i processi interni."
Analisi dei dati per investimenti,Vi scrivo per richiedere informazioni sui vostri servizi di analisi dei dati applicati alle decisioni di investimento e alla gestione del rischio.
Problema nei servizi ospedalieri,"Si è verificato un problema nei servizi ospedalieri legato al blocco dei dati multimediali, che ha causato ritardi nelle operazioni cliniche."
Sicurezza,"Gentile Assistenza Clienti, vi scrivo per segnalare una potenziale vulnerabilità di sicurezza riscontrata nei vostri sistemi informativi."
Errore di accesso al sistema,Durante il tentativo di accesso al sistema aziendale si è verificato un errore che ha impedito l’autenticazione dell’utente.
Richiesta informazioni su soluzioni cloud,Sono interessato a ricevere maggiori dettagli sulle vostre soluzioni cloud per la gestione e l’archiviazione dei dati aziendali.
Malfunzionamento dell’applicazione,"L’applicazione ha smesso di funzionare correttamente dopo l’ultimo aggiornamento software, causando frequenti arresti."
Supporto tecnico per infrastruttura IT,Vi contatto per richiedere supporto tecnico relativo alla configurazione della nostra infrastruttura IT.
Problema di integrazione dei dati,Abbiamo riscontrato difficoltà nell’integrare i dati provenienti da più sistemi all’interno della piattaforma centrale.
Richiesta di consulenza analitica,Desidero ricevere una consulenza sui metodi di analisi avanzata dei dati per migliorare le performance aziendali.
Interruzione del servizio,"Il servizio è stato interrotto senza preavviso, causando disservizi alle operazioni quotidiane."
Segnalazione bug software,Vorrei segnalare un bug nel software che genera risultati incoerenti durante l’elaborazione dei dati.
Richiesta demo prodotto,Sono interessato a programmare una demo del vostro prodotto per valutarne le funzionalità.
Problema di sicurezza dei dati,È stato rilevato un potenziale problema di sicurezza che potrebbe compromettere la riservatezza dei dati sensibili.
Lentezza del sistema,Il sistema risulta particolarmente lento durante l’esecuzione di operazioni complesse sui dati.
Richiesta di aggiornamento software,Vi scrivo per sapere quando sarà disponibile il prossimo aggiornamento del software.
Errore nella reportistica,I report generati dal sistema presentano incongruenze rispetto ai dati di origine.
Supporto per migrazione dati,Abbiamo bisogno di supporto per la migrazione dei dati da un sistema legacy a una nuova piattaforma.
Problema di compatibilità,Sono emersi problemi di compatibilità tra il vostro software e alcuni dei nostri sistemi esistenti.
Richiesta informazioni su pricing,Potete fornirmi maggiori dettagli sui costi e sui piani tariffari disponibili?
Accesso non autorizzato,È stato rilevato un tentativo di accesso non autorizzato all’interno del sistema.
Errore di sincronizzazione,I dati non risultano correttamente sincronizzati tra i vari moduli dell’applicazione.
Richiesta supporto API,Desidero ricevere supporto tecnico per l’utilizzo e l’integrazione delle vostre API.
Problema di backup,Il processo di backup automatico non viene completato correttamente.
Richiesta formazione,Siamo interessati a sessioni di formazione sull’utilizzo avanzato della piattaforma.
Errore durante l’aggiornamento,Si è verificato un errore critico durante l’aggiornamento del sistema.
Problema di visualizzazione dati,Alcuni dati non vengono visualizzati correttamente all’interno delle dashboard.
Supporto per analisi predittiva,Vi contatto per ricevere supporto sull’implementazione di modelli di analisi predittiva.
Richiesta documentazione tecnica,Avrei bisogno della documentazione tecnica aggiornata del prodotto.
Problema di autorizzazioni,Gli utenti non riescono ad accedere a determinate funzionalità a causa di problemi di autorizzazione.
Segnalazione anomalia di sistema,È stata rilevata un’anomalia di sistema che richiede verifica immediata.
Richiesta informazioni su integrazioni,Vorrei sapere quali integrazioni con sistemi di terze parti sono disponibili.
Errore nei log di sistema,I log di sistema mostrano errori ricorrenti durante l’elaborazione.
Problema di scalabilità,La piattaforma mostra limiti di scalabilità con volumi di dati elevati.
Richiesta supporto urgente,Necessitiamo di supporto urgente per risolvere un problema critico.
Errore di configurazione,È stato individuato un errore nella configurazione iniziale del sistema.
Problema di latenza,Si riscontrano problemi di latenza nelle comunicazioni tra i servizi.
Richiesta audit di sicurezza,Siamo interessati a un audit di sicurezza dei nostri sistemi.
Errore nei permessi,Alcuni permessi non vengono applicati correttamente agli utenti.
Problema di esportazione dati,L’esportazione dei dati in formato CSV non va a buon fine.
Richiesta consulenza IT,Desideriamo una consulenza IT per ottimizzare l’architettura esistente.
Errore di connessione,Il sistema perde frequentemente la connessione al database.
Problema di aggiornamento dati,I dati non vengono aggiornati in tempo reale come previsto.
Richiesta supporto avanzato,Abbiamo bisogno di supporto avanzato per una configurazione personalizzata.
Errore di validazione,Il sistema segnala errori di validazione anche con dati corretti.
Problema di performance,Le performance complessive del sistema risultano inferiori alle aspettative.
Richiesta informazioni generali,Vi contatto per ricevere informazioni generali sui vostri servizi.
Richiesta supporto per reportistica avanzata,Vi contatto per ricevere assistenza sulla creazione di report avanzati e personalizzati a partire dai dati disponibili in piattaforma.
Errore nel caricamento dei dati,Durante il caricamento dei dati si verifica un errore che impedisce il completamento dell’operazione.
Problema di accesso multiutente,Più utenti riscontrano difficoltà ad accedere contemporaneamente al sistema.
Richiesta informazioni su sicurezza cloud,Desidero ricevere maggiori informazioni sulle misure di sicurezza adottate per i servizi cloud.
Errore di calcolo nei risultati,I risultati dell’analisi mostrano errori di calcolo rispetto ai dati di input.
Problema di integrazione API,L’integrazione tramite API non restituisce i dati attesi.
Richiesta supporto per dashboard,Abbiamo bisogno di supporto per configurare correttamente le dashboard di monitoraggio.
Interruzione programmata del servizio,Vorrei ricevere conferma sulle tempistiche dell’interruzione programmata del servizio.
Errore di esportazione PDF,L’esportazione dei report in formato PDF non viene completata correttamente.
Problema di autenticazione,Il sistema di autenticazione non riconosce correttamente le credenziali degli utenti.
Richiesta ottimizzazione performance,Desideriamo suggerimenti per migliorare le performance complessive della piattaforma.
Errore nella gestione utenti,Si riscontrano anomalie nella creazione e modifica degli utenti.
Problema di duplicazione dati,Alcuni record risultano duplicati dopo l’importazione dei dati.
Richiesta informazioni su compliance,Vorrei informazioni sulla conformità della piattaforma alle normative vigenti.
Errore di timeout,Le operazioni di elaborazione superano frequentemente il tempo massimo consentito.
Problema di aggiornamento automatico,L’aggiornamento automatico dei dati non avviene con la frequenza prevista.
Richiesta supporto per configurazione iniziale,Abbiamo bisogno di assistenza nella fase di configurazione iniziale del sistema.
Errore nella visualizzazione grafici,Alcuni grafici non vengono visualizzati correttamente nelle dashboard.
Problema di compatibilità browser,La piattaforma presenta problemi di funzionamento con alcuni browser.
Richiesta accesso a funzionalità avanzate,Vorrei sapere come abilitare le funzionalità avanzate per il nostro account.
Errore nei processi batch,I processi batch notturni terminano con errori non previsti.
