title,body,pred_category,category_confidence,pred_priority
"Richiesta supporto per aggiornamenti di sicurezza,""Vi contatto per ricevere informazioni sugli ultimi aggiornamenti di sicurezza disponibili per la piattaforma.""",,Tecnico,0.835,medium
"Errore nella gestione delle code,""Il sistema presenta errori nella gestione delle code di elaborazione dei processi.""",,Tecnico,0.835,high
"Problema di accesso da remoto,""Alcuni utenti non riescono ad accedere alla piattaforma da remoto.""",,Tecnico,0.823,medium
"Richiesta informazioni su integrazione ERP,""Vorrei ricevere dettagli sull’integrazione della piattaforma con sistemi ERP.""",,Tecnico,0.804,medium
"Errore di indicizzazione dati,""Si riscontrano problemi nell’indicizzazione dei dati che rallentano le ricerche.""",,Tecnico,0.864,high
"Problema di visualizzazione mobile,""La piattaforma non viene visualizzata correttamente su dispositivi mobili.""",,Tecnico,0.818,medium
"Richiesta supporto per automazione,""Desideriamo supporto per automatizzare alcuni processi operativi.""",,Tecnico,0.765,medium
"Errore nella gestione dei ruoli,""I ruoli utente non vengono assegnati correttamente.""",,Tecnico,0.868,high
"Problema di aggiornamento dashboard,""Le dashboard non si aggiornano in tempo reale.""",,Tecnico,0.783,medium
"Problema con attivazione contratto,""Il contratto risulta firmato ma non ancora attivo.""",,Commerciale,0.453,medium
"Richiesta supporto commerciale continuativo,""Avremmo bisogno di un supporto commerciale continuativo.""",,Commerciale,0.872,medium
"Errore applicazione condizioni speciali,""Le condizioni speciali concordate non sono state applicate.""",,Tecnico,0.572,high
"Richiesta nuova offerta su misura,""Potete prepararci una nuova offerta su misura?""",,Commerciale,0.886,high
"Problema con gestione trattativa complessa,""La trattativa commerciale risulta complessa e rallentata.""",,Commerciale,0.556,medium
"Richiesta supporto per chiusura contratto,""Avremmo bisogno di supporto per arrivare alla chiusura del contratto.""",,Commerciale,0.706,medium
"Richiesta verifica saldo,""Potete verificare il saldo della nostra posizione?""",,Tecnico,0.455,medium
"Fattura con data futura,""La fattura presenta una data futura non corretta.""",,Amministrazione,0.83,medium
"Richiesta conferma chiusura fattura,""Potete confermare la chiusura della fattura?""",,Amministrazione,0.899,medium
"Richiesta estratto scadenziario,""Avremmo bisogno dello scadenziario aggiornato.""",,Tecnico,0.502,medium
